,taxon_name,marine
848,Chrysojasminum fruticans,False
849,Chrysolina,False
850,Chrysolina americana,False
851,Chrysolina bankii,False
852,Chrysolina peregrina,False
853,Chrysomela populi,False
854,Chrysomya albiceps,False
855,Chrysymenia ventricosa,True
856,Chthamalus,True
857,Chthamalus montagui,True
858,Chthamalus stellatus,True
859,Chylocladia verticillata,True
860,Cichorium intybus,False
861,Cicindela campestris,False
862,Cicindela hybrida,False
863,Ciconia ciconia,False
864,Cinclodes antarcticus,False
865,Cinclus cinclus,False
866,Cinetorhynchus rigens,True
867,Ciocalypta penicillus,True
868,Ciona,True
869,Ciona edwardsi,True
870,Ciona intermedia,True
871,Ciona robusta,True
872,Ciona roulei,False
873,Circaetus gallicus,False
874,Circus aeruginosus,False
875,Circus cinereus,False
876,Cirriformia tentaculata,True
877,Cirsium monspessulanum,False
878,Cirsium vulgare,False
879,Cisticola juncidis,False
880,Cistus albidus,False
881,Cistus monspeliensis,False
882,Cistus salviifolius,False
883,Citharus linguatula,True
884,Cladocora caespitosa,True
885,Cladonia foliacea,True
886,Cladonia pyxidata,False
887,Cladophora,True
888,Cladophora prolifera,True
889,Cladophora rupestris,True
890,Cladostephus spongiosus,True
891,Clanculus cruciatus,True
892,Clanculus jussieui,True
893,Clangula hyemalis,True
894,Clathria compressa,True
895,Clathria jolicoeuri,True
896,Clathrina clathrus,True
897,Clathrina contorta,True
898,Clathrina coriacea,True
899,Clathrina rubra,True
900,Clathrinidae,True
901,Clathrus ruber,False
902,Clavaria acuta,False
903,Clavariadelphus pistillaris,False
904,Clavelina dellavallei,True
905,Clavelina lepadiformis,True
906,Clavelina oblonga,True
907,Clavularia,True
908,Clavularia crassa,True
909,Clavulina cinerea,False
910,Cleantis prismatica,True
911,Clematis flammula,False
912,Clematis vitalba,False
913,Clibanarius erythropus,True
914,Clinitrachus argentatus,True
915,Clinopodium nepeta spruneri,False
916,Clinopodium vulgare,False
917,Clio pyramidata,True
918,Cliona celata,True
919,Cliona rhodensis,True
920,Cliona schmidti,False
921,Cliona viridis,True
922,Clitocybe metachroa,False
923,Clogmia albipunctata,False
924,Closterotomus norvegicus,False
925,Closterotomus trivialis,False
926,Clytra atraphaxidis,False
927,Clytus arietis,False
928,Coccinella septempunctata,False
929,Coccothraustes coccothraustes,False
930,Cochlicella barbara,False
931,Cochylimorpha decolorella,False
932,Codium,True
933,Codium adhaerens,True
934,Codium bursa,True
935,Codium coralloides,True
936,Codium effusum,True
937,Codium vermilara,True
938,Codophila varia,False
939,Coenagrionidae,False
940,Coenonympha arcania,False
941,Coenonympha dorus,False
942,Coenonympha pamphilus,False
943,Colias alfacariensis,False
944,Colias croceus,False
945,Collozoum inerme,True
946,Colpa quinquecincta,False
947,Colpomenia sinuosa,True
948,Columba livia,False
949,Columba livia domestica,False
950,Columba palumbus,False
951,Columbella adansoni,True
952,Columbella rustica,True
953,Colutea arborescens,False
954,Colutea atlantica,False
955,Comoplana agilis,True
956,Comoplana palmula,True
